book,chapter,verse,duration
1,14,5,19.644063
1,14,6,6.635063
1,14,7,12.199125
1,14,8,11.36325
1,14,9,12.53875
1,14,10,12.617125
1,14,11,5.668563
1,14,12,7.000812
1,14,13,13.374688
1,14,14,10.9975
1,14,15,10.684062
1,14,16,8.306938
1,14,17,13.139563
1,14,18,7.888937
1,14,19,8.019562
1,14,20,8.777125
1,14,21,7.784438
1,14,22,7.758312
1,14,23,9.691375
1,14,24,13.035063
1,15,1,12.956687
1,15,2,11.311
1,15,3,8.071813
1,15,4,10.292188
1,15,5,14.99425
1,15,6,5.093875
1,15,7,10.109375
1,15,8,6.713437
1,15,9,10.527312
1,15,10,12.53875
1,15,11,5.982
1,15,12,9.560812
1,15,13,11.885687
1,15,14,8.672625
1,15,15,5.433438
1,15,16,7.131375
1,15,17,11.964062
1,15,18,15.177125
1,15,19,4.022812
1,15,20,3.84
1,15,21,6.635063
1,16,1,7.053063
1,16,2,13.217937
1,16,3,16.013063
1,16,4,7.52325
1,16,5,16.013063
1,16,6,12.773875
1,16,7,7.471
1,16,8,13.792625
1,16,9,7.967313
1,16,10,7.471
1,16,11,12.4865
1,16,12,9.195063
1,16,13,11.546062
1,16,14,8.359125
1,16,15,9.743625
1,16,16,8.202438
1,17,1,15.464437
1,17,2,7.183625
1,17,3,6.269375
1,17,4,6.713437
1,17,5,10.396688
1,17,6,8.071813
1,17,7,14.158312
1,17,8,13.217937
1,17,9,10.031
1,17,10,10.448937
1,17,11,7.471
1,17,12,14.053875
1,17,13,10.579562
1,17,14,11.650562
1,17,15,9.508563
1,17,16,12.53875
1,17,17,12.564875
1,17,18,6.269375
1,17,19,14.759125
1,17,20,15.30775
1,17,21,9.613062
1,17,22,5.982
1,17,23,20.192625
1,17,24,5.982
1,17,25,7.053063
1,17,26,5.8775
1,17,27,8.620375
1,18,1,8.019562
1,18,2,13.792625
1,18,3,9.430188
1,18,4,6.817938
1,18,5,13.374688
1,18,6,12.146937
1,18,7,12.617125
1,18,8,12.4865
1,18,9,7.888937
1,18,10,12.016312
1,18,11,7.941187
1,18,12,9.377937
1,18,13,10.94525
1,18,14,7.653875
1,18,15,8.4375
1,18,16,6.948562
1,18,17,5.851375
1,18,18,7.183625
1,18,19,17.44975
1,18,20,8.359125
1,18,21,9.195063
1,18,22,8.90775
1,18,23,6.0865
1,18,24,10.9975
1,18,25,14.706938
1,18,26,9.97875
1,18,27,8.306938
1,18,28,15.281625
1,18,29,10.814687
1,18,30,13.191812
1,18,31,11.284875
1,18,32,14.02775
1,18,33,7.888937
1,19,1,13.035063
1,19,2,15.830187
1,19,3,9.456312
1,19,4,10.292188
1,19,5,8.724875
1,19,6,5.564062
1,19,7,3.57875
1,19,8,19.173875
1,19,9,14.863625
1,19,10,8.38525
1,19,11,10.031
1,19,12,12.068563
1,19,13,9.377937
1,19,14,15.281625
1,19,15,14.288937
1,19,16,13.60975
1,19,17,13.871
1,19,18,3.84
1,19,19,17.632625
1,19,20,10.161625
1,19,21,9.273438
1,19,22,9.848125
1,19,23,6.217125
1,19,24,7.000812
1,19,25,7.601625
1,19,26,4.96325
1,19,27,7.288125
1,19,28,11.702813
1,19,29,13.92325
1,19,30,13.81875
1,19,31,10.161625
1,19,32,7.601625
1,19,33,12.355875
1,19,34,17.214688
1,19,35,12.303625
1,19,36,4.022812
1,19,37,7.10525
1,19,38,8.306938
1,20,1,9.377937
1,20,2,9.848125
1,20,3,12.068563
1,20,4,8.4375
1,20,5,10.893062
1,20,6,16.848937
1,20,7,15.725687
1,20,8,9.639125
1,20,9,17.319125
1,20,10,5.799125
1,20,11,11.128125
1,20,12,7.784438
1,20,13,13.81875
1,20,14,8.672625
1,20,15,6.217125
1,20,16,12.068563
1,20,17,9.377937
1,20,18,8.254687
1,21,1,8.202438
1,21,2,8.306938
1,21,3,7.183625
1,21,4,8.071813
1,21,5,6.217125
1,21,6,8.254687
1,21,7,8.306938
1,21,8,9.377937
1,21,9,7.131375
1,21,10,10.866938
1,21,11,5.746937
1,21,12,17.266938
1,21,13,6.452187
1,21,14,18.207313
1,21,15,7.888937
1,21,16,16.561625
1,21,17,18.416313
1,21,18,8.38525
1,21,19,12.068563
1,21,20,9.195063
1,21,21,7.888937
1,21,22,12.068563
1,21,23,17.031813
1,21,24,4.85875
1,21,25,10.213875
1,21,26,11.833438
1,21,27,7.183625
1,21,28,5.198313
1,21,29,10.057125
1,21,30,10.866938
1,21,31,7.758312
1,21,32,10.213875
1,21,33,7.888937
1,21,34,5.668563
1,22,1,11.284875
1,22,2,18.755875
1,22,3,19.121625
1,22,4,8.124062
1,22,5,13.92325
1,22,6,14.524062
1,22,7,15.542813
1,22,8,9.560812
1,22,9,16.953437
1,22,10,7.784438
1,22,11,10.579562
1,22,12,17.737125
1,22,13,17.55425
1,22,14,10.684062
1,22,15,4.728125
1,22,16,13.217937
1,22,17,16.300375
1,22,18,8.80325
1,22,19,12.355875
1,22,20,10.762437
1,22,21,6.817938
1,22,22,6.948562
1,22,23,8.124062
1,22,24,10.344437
1,23,1,8.359125
1,23,2,10.893062
1,23,3,6.112625
1,23,4,8.777125
1,23,5,4.362437
1,23,6,15.412187
1,23,7,5.276687
1,23,8,11.4155
1,23,9,12.721625
1,23,10,12.8
1,23,11,14.053875
1,23,12,4.179563
1,23,13,14.288937
1,23,14,3.892187
1,23,15,10.866938
1,23,16,13.139563
1,23,17,14.106063
1,23,18,7.653875
1,23,19,10.9975
1,23,20,9.195063
1,24,1,7.053063
1,24,2,9.325687
1,24,3,13.217937
1,24,4,6.2955
1,24,5,13.792625
1,24,6,7.549375
1,24,7,20.924062
1,24,8,10.814687
1,24,9,9.090562
1,24,10,13.5575
1,24,11,9.090562
1,24,12,10.213875
1,24,13,7.836688
1,24,14,21.315875
1,24,15,14.811375
1,24,16,11.128125
1,24,17,8.071813
1,24,18,8.542
1,24,19,7.601625
1,24,20,10.631813
1,24,21,7.41875
1,24,22,14.942
1,24,23,9.221187
1,24,24,7.836688
1,24,25,4.5975
1,24,26,5.250563
1,24,27,14.654687
1,24,28,6.2955
1,24,29,7.10525
1,24,30,16.561625
1,24,31,10.448937
1,24,32,14.106063
1,24,33,10.631813
1,24,34,4.075062
1,24,35,13.453062
1,24,36,9.142812
1,24,37,10.161625
1,24,38,7.706062
1,24,39,5.694687
1,24,40,16.37875
1,24,41,11.650562
1,24,42,12.355875
1,24,43,13.400812
1,24,44,9.613062
1,24,45,13.871
1,24,46,12.956687
1,24,47,16.901187
1,24,48,13.322437
1,24,49,12.016312
1,24,50,9.325687
1,24,51,10.031
1,24,52,9.038312
1,24,53,10.631813
1,24,54,10.893062
1,24,55,8.48975
1,24,56,9.743625
1,24,57,5.381188
1,24,58,7.52325
1,24,59,7.235875
1,24,60,11.284875
1,24,61,11.36325
1,24,62,7.41875
1,24,63,9.613062
1,24,64,7.131375
1,24,65,14.654687
1,24,66,5.041625
1,24,67,14.053875
1,25,1,5.276687
1,25,2,8.4375
1,25,3,8.8555
1,25,4,8.80325
1,25,5,3.78775
1,25,6,13.035063
1,25,7,8.542
1,25,8,8.59425
1,25,9,12.146937
1,25,10,8.672625
1,25,11,10.292188
1,25,12,8.8555
1,25,13,11.833438
1,25,14,3.186937
1,25,15,4.675875
1,25,16,9.273438
1,25,17,12.120812
1,25,18,10.893062
1,25,19,5.799125
1,25,20,12.303625
1,25,21,11.702813
1,25,22,12.016312
1,25,23,14.88975
1,25,24,5.0155
1,25,25,9.012187
1,25,26,13.871
1,25,27,11.728938
1,25,28,7.941187
1,25,29,5.746937
1,25,30,13.453062
1,25,31,5.694687
1,25,32,6.870188
1,25,33,9.221187
1,25,34,13.035063
1,26,1,12.068563
1,26,2,9.430188
1,26,3,18.62525
1,26,4,13.871
1,26,5,10.213875
1,26,6,2.533875
1,26,7,13.871
1,26,8,14.445688
1,26,9,14.02775
1,26,10,11.546062
1,26,11,9.325687
1,26,12,9.613062
1,26,13,6.03425
1,26,14,8.359125
1,26,15,10.292188
1,26,16,7.340375
1,26,17,6.2955
1,26,18,18.102812
1,26,19,8.620375
1,26,20,14.106063
1,26,21,7.235875
1,26,22,14.942
1,26,23,3.422
1,26,24,17.972188
1,26,25,10.684062
1,26,26,8.306938
1,26,27,9.795875
1,26,28,14.02775
1,26,29,15.281625
1,26,30,4.075062
1,26,31,9.090562
